영업상태명,영업상태코드,상세영업상태명,폐업일자,지번주소,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
폐업,3,폐업,2007-06-28,서울특별시 용산구 이태원동 22-76번지 (지상2층) ,,아리랑,한식,199337.628628981,447413.487156381
폐업,3,폐업,2009-04-30,서울특별시 용산구 한남동 739-18번지 (지상1층) ,,대보식당,한식,199953.729552212,448350.971370515
폐업,3,폐업,2013-06-11,서울특별시 용산구 한남동 657-102번지 (지상1층) ,,포구,한식,200415.883125551,447943.864490642
폐업,3,폐업,2013-06-11,서울특별시 용산구 청파동2가 94-0번지 (지상1층) ,,파래스치킨,한식,197288.92631622,449246.311968481
폐업,3,폐업,2000-12-22,서울특별시 용산구 효창동 152-7번지 ,,토스트의집,한식,,
폐업,3,폐업,2012-08-27,서울특별시 용산구 한남동 683-30번지 (지상1층) ,,감나무식당,한식,200100.406015007,448377.675812652
폐업,3,폐업,2000-07-18,서울특별시 용산구 이태원동 112-4번지 ,,이태원가든,한식,199451.723308989,448100.047224767
폐업,3,폐업,2000-02-03,서울특별시 용산구 청파동3가 111-9번지 ,,디토,한식,197059.739243751,449146.256652348
폐업,3,폐업,2024-03-25,서울특별시 용산구 이태원동 72-17 ,서울특별시 용산구 보광로59길 17 (이태원동),삼곱식당이태원점,호프/통닭,199311.328977181,447954.610363963
폐업,3,폐업,2001-03-22,서울특별시 용산구 한남동 29-7번지 ,,바다의집,한식,200776.084600498,448036.30984181
폐업,3,폐업,2000-02-14,서울특별시 용산구 한남동 739-18번지 ,,전원식당,한식,199953.729552212,448350.971370515
폐업,3,폐업,2013-05-20,서울특별시 용산구 이태원동 74-1번지 (지상1층) ,,향토국수,한식,199251.936597641,447951.619319206
폐업,3,폐업,2008-04-17,서울특별시 용산구 한남동 736-14번지 (지상1층) ,,스마일실내마차,한식,199784.655572509,448059.606186556
폐업,3,폐업,2004-12-31,서울특별시 용산구 한남동 657-43번지 ,,보름달,한식,200218.818155781,447935.984536944
폐업,3,폐업,2005-04-28,서울특별시 용산구 이태원동 140-11번지 ,,주유소,일식,199665.914677962,447872.181415397
폐업,3,폐업,2002-08-29,서울특별시 용산구 이태원동 22-32번지 ,,라펠,경양식,199305.746897626,447706.508417278
폐업,3,폐업,2000-03-02,서울특별시 용산구 한남동 657-159번지 ,,이반,경양식,200412.822072876,447915.442066364
폐업,3,폐업,2000-02-22,서울특별시 용산구 이태원동 243-61번지 ,,파드,경양식,199541.878621065,448622.274077922
폐업,3,폐업,2004-01-12,서울특별시 용산구 이태원동 126-31번지 ,,웍앤웍,경양식,199639.217635905,448009.570901419
폐업,3,폐업,2000-02-26,서울특별시 용산구 후암동 194-1번지 ,,연,경양식,197995.835166325,449365.84439699
폐업,3,폐업,2000-02-21,서울특별시 용산구 후암동 105-69번지 ,,비엔비,경양식,197922.335444791,449724.913626587
폐업,3,폐업,2002-05-29,서울특별시 용산구 청파동3가 19-2번지 ,,자금성,중국식,197316.777787563,449139.796359023
폐업,3,폐업,2002-10-02,서울특별시 용산구 이태원동 126-1번지 ,,레인보우,분식,199650.500239024,448011.48537122
영업/정상,1,영업,,서울특별시 용산구 청파동3가 50-1번지 ,서울특별시 용산구 청파로 273-5 (청파동3가),두리분식,분식,197310.434004659,449076.868680885
